,fips_txt,Stabr,area_name,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,Brewery_Count
124,5029,AR,"Conway County, AR",46924.0,16.0,35.2657,-92.68924799999999,0.0
125,5031,AR,"Craighead County, AR",47766.0,26.3,35.82827,-90.630411,0.0
126,5033,AR,"Crawford County, AR",44600.0,15.3,35.583040000000004,-94.23622399999999,0.0
127,5035,AR,"Crittenden County, AR",41976.0,18.0,35.21188,-90.315331,0.0
128,5037,AR,"Cross County, AR",45273.0,15.4,35.29126,-90.773894,0.0
129,5039,AR,"Dallas County, AR",41314.0,13.7,33.96782,-92.653999,0.0
130,5041,AR,"Desha County, AR",37005.0,12.4,33.82875,-91.244427,0.0
131,5043,AR,"Drew County, AR",44162.0,20.6,33.58724,-91.722778,0.0
132,5045,AR,"Faulkner County, AR",58482.0,30.0,35.146359999999994,-92.32465400000001,0.0
133,5047,AR,"Franklin County, AR",45670.0,11.8,35.50857,-93.887672,0.0
134,5049,AR,"Fulton County, AR",32926.0,11.8,36.38344,-91.819239,0.0
135,5051,AR,"Garland County, AR",45786.0,20.2,34.57886,-93.146915,1.0
136,5053,AR,"Grant County, AR",58566.0,18.3,34.288059999999994,-92.42398399999999,0.0
137,5055,AR,"Greene County, AR",47098.0,15.9,36.11992,-90.565241,1.0
138,5057,AR,"Hempstead County, AR",40867.0,15.1,33.728609999999996,-93.665809,0.0
139,5059,AR,"Hot Spring County, AR",45860.0,14.7,34.31518,-92.944147,0.0
140,5061,AR,"Howard County, AR",41427.0,14.7,34.08318,-93.990988,0.0
141,5063,AR,"Independence County, AR",47903.0,18.9,35.7375,-91.559942,0.0
142,5065,AR,"Izard County, AR",40233.0,13.8,36.094879999999996,-91.913625,0.0
143,5067,AR,"Jackson County, AR",38636.0,10.2,35.59661,-91.223178,0.0
144,5069,AR,"Jefferson County, AR",40555.0,17.8,34.2777,-91.930701,0.0
145,5071,AR,"Johnson County, AR",40396.0,15.8,35.57336,-93.46632199999999,0.0
146,5073,AR,"Lafayette County, AR",37164.0,16.5,33.24066,-93.611643,0.0
147,5075,AR,"Lawrence County, AR",39604.0,15.0,36.0411,-91.101153,0.0
148,5077,AR,"Lee County, AR",30421.0,8.9,34.77975,-90.779288,0.0
149,5079,AR,"Lincoln County, AR",44272.0,8.9,33.95767,-91.727624,0.0
150,5081,AR,"Little River County, AR",43257.0,11.4,33.6995,-94.229774,0.0
151,5083,AR,"Logan County, AR",42249.0,12.1,35.21855,-93.720563,0.0
152,5085,AR,"Lonoke County, AR",62782.0,20.3,34.755109999999995,-91.894132,0.0
153,5087,AR,"Madison County, AR",48016.0,12.5,36.01255,-93.724053,0.0
154,5089,AR,"Marion County, AR",38760.0,17.2,36.266659999999995,-92.678588,0.0
155,5091,AR,"Miller County, AR",50905.0,16.6,33.30551,-93.90150899999999,0.0
156,5093,AR,"Mississippi County, AR",39990.0,12.8,35.766940000000005,-90.05220899999999,0.0
157,5095,AR,"Monroe County, AR",34289.0,10.5,34.67951,-91.203314,0.0
158,5097,AR,"Montgomery County, AR",39591.0,10.8,34.54565,-93.664147,0.0
159,5099,AR,"Nevada County, AR",36528.0,15.4,33.6667,-93.305072,0.0
160,5101,AR,"Newton County, AR",37648.0,16.2,35.910059999999994,-93.21508399999999,0.0
161,5103,AR,"Ouachita County, AR",46393.0,16.0,33.591159999999995,-92.87841800000001,0.0
162,5105,AR,"Perry County, AR",50560.0,11.9,34.94636,-92.926877,0.0
163,5107,AR,"Phillips County, AR",31521.0,14.0,34.42584,-90.848386,0.0
164,5109,AR,"Pike County, AR",44426.0,14.7,34.158190000000005,-93.658659,0.0
165,5111,AR,"Poinsett County, AR",40536.0,10.1,35.568979999999996,-90.680595,0.0
166,5113,AR,"Polk County, AR",39722.0,13.3,34.49092,-94.230884,0.0
167,5115,AR,"Pope County, AR",47519.0,22.0,35.4553,-93.03153499999999,0.0
168,5117,AR,"Prairie County, AR",46205.0,15.1,34.82823,-91.5572,0.0
169,5119,AR,"Pulaski County, AR",52684.0,34.1,34.773990000000005,-92.316515,10.0
170,5121,AR,"Randolph County, AR",42875.0,14.0,36.3413,-91.028441,0.0
171,5123,AR,"St. Francis County, AR",34389.0,10.6,35.01444,-90.742199,0.0
172,5125,AR,"Saline County, AR",66944.0,26.1,34.64853,-92.674463,0.0
173,5127,AR,"Scott County, AR",38065.0,9.1,34.85887,-94.063641,0.0
174,5129,AR,"Searcy County, AR",34712.0,12.5,35.909659999999995,-92.69935100000001,0.0
175,5131,AR,"Sebastian County, AR",48945.0,19.7,35.196979999999996,-94.274989,1.0
176,5133,AR,"Sevier County, AR",43493.0,11.5,33.994609999999994,-94.24329,0.0
177,5135,AR,"Sharp County, AR",37591.0,11.3,36.1734,-91.471069,0.0
178,5137,AR,"Stone County, AR",36930.0,12.8,35.85699,-92.14049399999999,0.0
179,5139,AR,"Union County, AR",46602.0,20.8,33.16822,-92.598145,0.0
180,5141,AR,"Van Buren County, AR",38096.0,14.1,35.58296,-92.515977,0.0
181,5143,AR,"Washington County, AR",52158.0,32.8,35.97121,-94.218417,9.0
182,5145,AR,"White County, AR",46388.0,21.4,35.25472,-91.753158,0.0
183,5147,AR,"Woodruff County, AR",36568.0,12.0,35.18907,-91.24441800000001,0.0
184,5149,AR,"Yell County, AR",44469.0,13.5,34.99771,-93.408303,0.0
185,6001,CA,"Alameda County, CA",107589.0,46.0,37.64808,-121.91330400000001,35.0
186,6003,CA,"Alpine County, CA",58112.0,30.0,38.61761,-119.798999,0.0
187,6005,CA,"Amador County, CA",62640.0,20.3,38.44355,-120.653856,1.0
188,6007,CA,"Butte County, CA",58394.0,26.5,39.66596,-121.601919,6.0
189,6009,CA,"Calaveras County, CA",68248.0,18.7,38.18784,-120.55511499999999,1.0
190,6011,CA,"Colusa County, CA",59048.0,15.4,39.17774,-122.237563,1.0
191,6013,CA,"Contra Costa County, CA",106555.0,41.7,37.91948,-121.95154299999999,7.0
192,6015,CA,"Del Norte County, CA",48979.0,14.3,41.7499,-123.980998,2.0
193,6017,CA,"El Dorado County, CA",86202.0,33.7,38.78553,-120.534398,15.0
194,6019,CA,"Fresno County, CA",56926.0,20.7,36.76101,-119.655019,12.0
195,6021,CA,"Glenn County, CA",55682.0,13.9,39.60255,-122.4017,0.0
196,6023,CA,"Humboldt County, CA",51134.0,29.8,40.70667,-123.92581799999999,7.0
197,6025,CA,"Imperial County, CA",48102.0,14.5,33.040820000000004,-115.355395,1.0
198,6027,CA,"Inyo County, CA",59605.0,26.1,36.56198,-117.403927,2.0
199,6029,CA,"Kern County, CA",53245.0,16.1,35.34663,-118.729506,4.0
200,6031,CA,"Kings County, CA",57297.0,13.5,36.07248,-119.81553000000001,1.0
201,6033,CA,"Lake County, CA",46897.0,15.8,39.0948,-122.746757,3.0
202,6035,CA,"Lassen County, CA",53613.0,12.0,40.721090000000004,-120.629931,1.0
203,6037,CA,"Los Angeles County, CA",72721.0,31.8,34.1964,-118.26186200000001,104.0
204,6039,CA,"Madera County, CA",61105.0,14.5,37.21004,-119.749852,3.0
205,6041,CA,"Marin County, CA",112069.0,58.8,38.05182,-122.745974,8.0
206,6043,CA,"Mariposa County, CA",52760.0,23.4,37.570029999999996,-119.91286000000001,1.0
207,6045,CA,"Mendocino County, CA",52309.0,24.7,39.432390000000005,-123.442881,4.0
208,6047,CA,"Merced County, CA",59733.0,14.0,37.19481,-120.722802,0.0
209,6049,CA,"Modoc County, CA",45311.0,15.9,41.59292,-120.71837,0.0
210,6051,CA,"Mono County, CA",66226.0,30.6,37.91584,-118.87516699999999,2.0
211,6053,CA,"Monterey County, CA",76509.0,24.5,36.240109999999994,-121.315573,2.0
212,6055,CA,"Napa County, CA",90230.0,34.9,38.50735,-122.32599499999999,12.0
213,6057,CA,"Nevada County, CA",69550.0,36.6,39.295190000000005,-120.77344599999999,3.0
214,6059,CA,"Orange County, CA",95761.0,39.9,33.67569,-117.777207,37.0
215,6061,CA,"Placer County, CA",97688.0,38.6,39.06203,-120.722718,11.0
216,6063,CA,"Plumas County, CA",59376.0,23.5,39.99517,-120.829516,0.0
217,6065,CA,"Riverside County, CA",72905.0,21.8,33.72983,-116.00223899999999,16.0
218,6067,CA,"Sacramento County, CA",71891.0,30.4,38.45001,-121.340441,28.0
219,6069,CA,"San Benito County, CA",84209.0,19.7,36.6107,-121.085296,2.0
220,6071,CA,"San Bernardino County, CA",67398.0,20.3,34.85722,-116.181197,13.0
221,6073,CA,"San Diego County, CA",83576.0,38.1,33.0236,-116.776117,125.0
222,6075,CA,"San Francisco County/city, CA",121795.0,57.1,37.72724,-123.032229,35.0
223,6077,CA,"San Joaquin County, CA",68458.0,18.4,37.93503,-121.27223700000002,7.0
224,6079,CA,"San Luis Obispo County, CA",76599.0,34.6,35.38523,-120.44753999999999,16.0
225,6081,CA,"San Mateo County, CA",135234.0,49.9,37.41466,-122.37154199999999,8.0
226,6083,CA,"Santa Barbara County, CA",74530.0,33.8,34.53738,-120.03848500000001,14.0
227,6085,CA,"Santa Clara County, CA",132444.0,51.3,37.22078,-121.69062199999999,25.0
228,6087,CA,"Santa Cruz County, CA",85770.0,40.0,37.01249,-122.007205,8.0
229,6089,CA,"Shasta County, CA",61464.0,22.2,40.76052,-122.04355,3.0
230,6091,CA,"Sierra County, CA",55862.0,18.7,39.57693,-120.521993,0.0
231,6093,CA,"Siskiyou County, CA",45954.0,22.5,41.587990000000005,-122.53328700000002,4.0
232,6095,CA,"Solano County, CA",85704.0,26.2,38.26723,-121.939594,9.0
233,6097,CA,"Sonoma County, CA",87084.0,34.9,38.53257,-122.945194,23.0
234,6099,CA,"Stanislaus County, CA",62761.0,16.9,37.56238,-121.002656,2.0
235,6101,CA,"Sutter County, CA",60910.0,17.7,39.03526,-121.702758,1.0
